innovationinsight_id,name,source_column,mention_count
InnovationInsight_0,后排娱乐屏开合方式,innovation_insight,1
InnovationInsight_1,后排娱乐屏角度调节,innovation_insight,1
InnovationInsight_2,沉坑设计,innovation_insight,1
InnovationInsight_3,腰枕适配性,innovation_insight,1
InnovationInsight_4,特色功能设计,innovation_insight,1
InnovationInsight_5,用户趣味性体验,innovation_insight,1
InnovationInsight_6,展车模式,innovation_insight,1
InnovationInsight_7,功能体验,innovation_insight,1
InnovationInsight_8,场景体验介绍,innovation_insight,1
InnovationInsight_9,手机热点投屏,innovation_insight,1
InnovationInsight_10,车机快速场景入口,innovation_insight,1
InnovationInsight_11,DeepSeek语言大模型,innovation_insight,1
InnovationInsight_12,车辆前方交互设计,innovation_insight,1
InnovationInsight_13,车内IP打造,innovation_insight,1
InnovationInsight_14,天猫精灵车载集成,innovation_insight,1
InnovationInsight_15,换电服务,innovation_insight,1
InnovationInsight_16,电池免费更换,innovation_insight,1
InnovationInsight_17,高清多屏交互系统,innovation_insight,1
InnovationInsight_18,15.7英寸中控屏,innovation_insight,1
InnovationInsight_19,15.7英寸副驾屏,innovation_insight,1
InnovationInsight_20,13.3英寸HUD抬头显示,innovation_insight,1
InnovationInsight_21,安全驾驶交互屏,innovation_insight,1
InnovationInsight_22,MindGPT,innovation_insight,1
InnovationInsight_23,AI理想同学,innovation_insight,1
InnovationInsight_24,语音控制,innovation_insight,1
InnovationInsight_25,绘画生成,innovation_insight,1
InnovationInsight_26,任务规划,innovation_insight,1
InnovationInsight_27,19扬声器音响系统,innovation_insight,1
InnovationInsight_28,7.3.4全景声布局,innovation_insight,1
InnovationInsight_29,前机舱双敲击开启,innovation_insight,1
InnovationInsight_30,发罩星环灯互动,innovation_insight,1
InnovationInsight_31,前机舱气味隔离储物,innovation_insight,1
InnovationInsight_32,尾箱天地门设计,innovation_insight,1
InnovationInsight_33,后备箱空间优化,innovation_insight,1
InnovationInsight_34,备胎池储物空间,innovation_insight,1
InnovationInsight_35,娱乐屏可调角度设计,innovation_insight,1
InnovationInsight_36,躺姿观影功能,innovation_insight,1
InnovationInsight_37,车门网兜储物,innovation_insight,1
InnovationInsight_38,前排座椅后网兜设计,innovation_insight,1
InnovationInsight_39,语音交互系统,innovation_insight,1
InnovationInsight_40,自然语言理解能力,innovation_insight,1
InnovationInsight_41,按键操作区域人机工程设计,innovation_insight,1
InnovationInsight_42,语音识别灵敏度,innovation_insight,1
InnovationInsight_43,客户群体定位,innovation_insight,1
InnovationInsight_44,节俭务实型用户画像,innovation_insight,1
InnovationInsight_45,性价比导向设计策略,innovation_insight,1
InnovationInsight_46,运动溜背造型,innovation_insight,1
InnovationInsight_47,车内空间感优化,innovation_insight,1
InnovationInsight_48,后排座椅靠背角度设计,innovation_insight,1
InnovationInsight_49,后排座椅靠背调节功能缺失,innovation_insight,1
InnovationInsight_50,超大化妆镜,innovation_insight,1
InnovationInsight_51,触摸按键,innovation_insight,1
InnovationInsight_52,华为五界,innovation_insight,1
InnovationInsight_53,配置实用性,innovation_insight,1
InnovationInsight_54,价格合理性,innovation_insight,1
InnovationInsight_55,设计优秀性,innovation_insight,1
InnovationInsight_56,仪表板预留接口,innovation_insight,1
InnovationInsight_57,精品手机支架,innovation_insight,1
InnovationInsight_58,移动电站,innovation_insight,1
InnovationInsight_59,车对车充电,innovation_insight,1
InnovationInsight_60,第三排座椅收纳,innovation_insight,1
InnovationInsight_61,扩展行李箱空间,innovation_insight,1
InnovationInsight_62,中东土豪版,innovation_insight,1
InnovationInsight_63,车机鸿蒙融合,innovation_insight,1
InnovationInsight_64,车机安卓融合,innovation_insight,1
InnovationInsight_65,车机苹果融合,innovation_insight,1
InnovationInsight_66,多手机系统适配,innovation_insight,1
