respondent_id,respondent_name,source_column,source_file,age,gender,family_status,vehicle_ownership,time_spent
Respondent_0,74,respondent_id,序号_standardized_schema_cleaned.csv,25-29岁,男,未婚/单身,是，请补充车型〖宝马〗,1027秒
Respondent_1,75,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,女,已婚1孩,是，请补充车型〖传祺E8〗,3450秒
Respondent_2,76,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,男,未婚/单身,是，请补充车型〖BMW 3系〗,12344秒
Respondent_3,77,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖E8〗,400秒
Respondent_4,78,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,已婚2孩/多人口,是，请补充车型〖传祺宗师M8，甲壳虫〗,4362秒
Respondent_5,79,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖昊铂HT〗,6796秒
Respondent_6,80,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,否,2704秒
Respondent_7,81,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖霸王龙〗,2541秒
Respondent_8,82,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,是，请补充车型〖CRV〗,3989秒
Respondent_9,83,respondent_id,序号_standardized_schema_cleaned.csv,54岁及以上,男,已婚1孩,是，请补充车型〖威兰达高性能版〗,13456秒
Respondent_10,84,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖gs8〗,2923秒
Respondent_11,85,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖奥迪A3〗,5621秒
Respondent_12,86,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,已婚2孩/多人口,是，请补充车型〖凯美瑞〗,2402秒
Respondent_13,87,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖凯迪拉克〗,1647秒
Respondent_14,88,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,女,已婚1孩,是，请补充车型〖理想i6〗,1979秒
Respondent_15,89,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖丰田凯美瑞〗,2261秒
Respondent_16,90,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,未婚/单身,是，请补充车型〖10代凯美瑞运动plus，传祺M8宗师御尊版。〗,3481秒
Respondent_17,91,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖HL〗,1725秒
Respondent_18,92,respondent_id,序号_standardized_schema_cleaned.csv,54岁及以上,男,已婚1孩,是，请补充车型〖传祺速博〗,2166秒
Respondent_19,93,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,是，请补充车型〖传祺M6〗,757秒
Respondent_20,94,respondent_id,序号_standardized_schema_cleaned.csv,35-39岁,男,已婚0孩,是，请补充车型〖雷克萨斯ES300H〗,10144秒
Respondent_21,95,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,是，请补充车型〖传祺GS8〗,2189秒
Respondent_22,96,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,是，请补充车型〖皇冠〗,759秒
Respondent_23,97,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚1孩,是，请补充车型〖GS7〗,3048秒
Respondent_24,98,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖传祺GS4〗,2068秒
Respondent_25,99,respondent_id,序号_standardized_schema_cleaned.csv,30-34岁,男,未婚/单身,是，请补充车型〖特斯拉modal3〗,5025秒
Respondent_26,100,respondent_id,序号_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,是，请补充车型〖Suv〗,1141秒
