from_id,to_id,to_name,relationship_type,sentiment,source_column
Feature_74,Experience_0,体量,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_74,Experience_1,形面,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_75,Experience_22,个性,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_88,Experience_22,个性,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_75,Experience_12,辨识度,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_88,Experience_12,辨识度,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_75,Experience_4,原创性,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_127,Experience_4,原创性,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_76,Experience_45,车身流线型,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_76,Experience_24,车身高度,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_76,Experience_7,臃肿感,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_77,Experience_18,前脸,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_77,Experience_9,定位,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_78,Experience_4,科技感,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_78,Experience_4,独特性,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_79,Experience_12,仿生学造型,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_79,Experience_13,海鸥动物力度,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_80,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_84,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_87,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_91,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_92,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_93,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_106,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_107,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_108,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_122,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_126,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_127,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_129,Experience_21,大气,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_80,Experience_15,银河式贯穿灯,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_81,Experience_13,性价比,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_82,Experience_56,年轻,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_82,Experience_56,清新,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_40,外观,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_139,Experience_40,外观,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_142,Experience_40,外观,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_20,座椅放倒,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_21,气垫床,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_22,活动天幕,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_23,尾门储物盒,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_24,改装性,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_25,电动发罩,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_26,固定扰流板,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_27,悬浮式车顶,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_28,尾门小桌板,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_83,Experience_29,涉水深度,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_84,Experience_45,线条感,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_84,Experience_39,黑色外形,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_87,Experience_20,稳重,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_87,Experience_33,耐看,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_127,Experience_33,耐看,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_87,Experience_34,不过时,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_89,Experience_40,外观漂亮,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_90,Experience_36,车身比例协调,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_90,Experience_45,线条设计美感,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_90,Experience_38,优雅美学,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_90,Experience_36,时尚,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_90,Experience_40,视觉冲击力,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
Feature_92,Experience_41,高端,IMPACTS_EXPERIENCE,positive,appearance_overall_positive
