experience_id,name,source_column,mention_count
Experience_0,体量,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_1,形面,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_2,个性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Experience_3,辨识度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Experience_4,原创性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Experience_5,车身流线型,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_6,车身高度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_7,臃肿感,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_8,前脸,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_9,中庸,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_10,定位,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_11,科技感,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_12,独特性,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_13,仿生学造型,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_14,海鸥动物力度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_15,大气,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,12
Experience_16,银河式贯穿灯,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_17,性价比,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_18,年轻,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_19,清新,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_20,外观简洁实用,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_21,座椅放倒,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_22,气垫床,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_23,活动天幕,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Experience_24,尾门储物盒,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
