feature_id,name,source_column,mention_count
Feature_1,形面,appearance_overall_positive,1
Feature_9,定位,appearance_overall_positive,1
Feature_19,外观,appearance_overall_positive,8
Feature_52,天青色车漆,appearance_overall_positive,1
Feature_53,黑白双色内饰,appearance_overall_positive,1
Feature_68,车身,appearance_overall_positive,1
Feature_69,风格,appearance_overall_positive,5
Feature_89,线条,appearance_overall_positive,3
Feature_3,圆润,appearance_overall_negative,1
Feature_4,亲和,appearance_overall_negative,1
Feature_5,6坐空间,appearance_overall_negative,1
Feature_6,仪表,appearance_overall_negative,1
Feature_7,细节部分,appearance_overall_negative,1
Feature_8,感官品质,appearance_overall_negative,1
Feature_10,微细节,appearance_overall_negative,1
Feature_13,车身外钣金件接缝处,appearance_overall_negative,1
Feature_14,侧面,appearance_overall_negative,2
Feature_15,前备箱,appearance_overall_negative,1
Feature_16,MPV设计,appearance_overall_negative,1
Feature_17,车顶两侧摄像头,appearance_overall_negative,1
Feature_18,后背,appearance_overall_negative,1
Feature_19,鲨鱼鳍,appearance_overall_negative,1
Feature_21,车头,appearance_overall_negative,1
Feature_22,车型,appearance_overall_negative,1
Feature_23,颜色,appearance_overall_negative,1
Feature_24,配置,appearance_overall_negative,1
Feature_25,车高,appearance_overall_negative,1
Feature_26,车宽,appearance_overall_negative,1
Feature_27,设计,appearance_overall_negative,1
Feature_28,尾部设计,appearance_overall_negative,1
Feature_29,前脸设计,appearance_overall_negative,1
Feature_30,尾部,appearance_overall_negative,1
Feature_31,轮辋造型,appearance_overall_negative,1
Feature_32,前后脸造型,appearance_overall_negative,1
Feature_33,豪华感,appearance_overall_negative,1
Feature_34,轮毂,appearance_overall_negative,1
Feature_35,A柱,appearance_overall_negative,1
Feature_37,后四窗,appearance_overall_negative,1
Feature_38,车身造型,appearance_overall_negative,1
Feature_39,力量感,appearance_overall_negative,1
Feature_40,亮饰条,appearance_overall_negative,1
Feature_41,高端感,appearance_overall_negative,1
Feature_43,发动机盖,appearance_overall_negative,1
Feature_44,分缝设计,appearance_overall_negative,1
Feature_45,前脸灯,appearance_overall_negative,1
Feature_46,保险杠造型,appearance_overall_negative,1
Feature_47,细节制造工艺,appearance_overall_negative,1
Feature_48,M9,appearance_overall_negative,1
Feature_49,M8,appearance_overall_negative,1
Feature_0,H型,appearance_front_side_positive,1
Feature_1,贯穿灯,appearance_front_side_positive,1
Feature_2,主动进气格栅,appearance_front_side_positive,1
Feature_3,侧围水切,appearance_front_side_positive,1
Feature_4,腰线,appearance_front_side_positive,1
Feature_5,俯冲感,appearance_front_side_positive,1
Feature_6,C柱,appearance_front_side_positive,1
Feature_7,摄像头,appearance_front_side_positive,1
Feature_8,车标,appearance_front_side_positive,1
Feature_9,贯穿式前大灯,appearance_front_side_positive,1
Feature_10,前脸运动姿态,appearance_front_side_positive,1
Feature_11,前灯,appearance_front_side_positive,1
Feature_12,星环大灯,appearance_front_side_positive,1
Feature_13,鲨鱼前脸,appearance_front_side_positive,1
Feature_14,侧面运动感,appearance_front_side_positive,1
Feature_15,小灯,appearance_front_side_positive,1
Feature_17,星河璀璨,appearance_front_side_positive,1
Feature_18,车灯,appearance_front_side_positive,1
