component_id,name,source_column,mention_count
Component_0,车身,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Component_1,高度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_2,前脸,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_3,造型,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,4
Component_4,银河式贯穿灯,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_5,座椅,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_6,活动天幕,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_7,尾门,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_8,储物盒,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_9,电动发罩,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_10,扰流板,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_11,悬浮式车顶,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_12,尾门小桌板,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_13,涉水深度,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_14,外形,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,2
Component_15,线条,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,3
Component_16,外观,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,5
Component_17,车身外造型,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_18,车身比例,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_19,车身美学,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_20,视觉冲击力,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_21,灯光设计,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_22,门把手,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
Component_23,D柱,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点,1
