from_id,to_id,to_name,relationship_type,sentiment,source_column
Respondent_0,Feature_0,体量,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_70,Feature_0,体量,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_0,Feature_1,形面,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_1,Feature_383,个性,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_14,Feature_383,个性,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_1,Feature_373,辨识度,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_14,Feature_373,辨识度,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_28,Feature_373,辨识度,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_1,Feature_4,原创性,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_53,Feature_4,原创性,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_2,Feature_5,车身流线型,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_2,Feature_1304,车身高度,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_2,Feature_7,臃肿感,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_3,Feature_210,前脸,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_3,Feature_9,定位,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_4,Feature_1758,科技感,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_4,Feature_11,独特性,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_5,Feature_12,仿生学造型,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_5,Feature_13,海鸥动物力度,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_6,Feature_14,整体外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_6,Feature_15,银河式贯穿灯,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_7,Feature_948,性价比,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_8,Feature_228,年轻感,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_8,Feature_18,清新感,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_15,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_17,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_18,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_19,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_33,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_34,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_39,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_65,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_68,Feature_1082,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_20,座椅放倒功能,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_21,气垫床适配性,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_22,活动天幕,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_23,尾门储物盒,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_24,改装性,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_25,电动发罩,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
Respondent_9,Feature_26,固定扰流板,MENTIONED_FEATURE,positive,appearance_design_overall_positive_feedback
