issue_id,name,source_column,mention_count
Issue_0,灯具边界,appearance_design_overall_negative_feedback,1
Issue_1,设计个性,appearance_design_overall_negative_feedback,1
Issue_2,用户偏好,appearance_design_overall_negative_feedback,1
Issue_3,车尾造型,appearance_design_overall_negative_feedback,1
Issue_4,后尾部,appearance_design_overall_negative_feedback,1
Issue_5,造型圆润度,appearance_design_overall_negative_feedback,1
Issue_6,亲和感,appearance_design_overall_negative_feedback,1
Issue_7,6座空间,appearance_design_overall_negative_feedback,1
Issue_8,仪表,appearance_design_overall_negative_feedback,1
Issue_9,细节感官品质,appearance_design_overall_negative_feedback,1
Issue_10,外造型细节,appearance_design_overall_negative_feedback,1
Issue_11,前脸,appearance_design_overall_negative_feedback,3
Issue_12,隐藏式门把手,appearance_design_overall_negative_feedback,2
Issue_13,车身外钣金件接缝,appearance_design_overall_negative_feedback,1
Issue_14,工艺管控,appearance_design_overall_negative_feedback,1
Issue_15,侧面造型,appearance_design_overall_negative_feedback,2
Issue_16,前备箱缝隙,appearance_design_overall_negative_feedback,1
Issue_17,造型风格,appearance_design_overall_negative_feedback,2
Issue_18,车顶摄像头,appearance_design_overall_negative_feedback,1
Issue_19,前脸造型,appearance_design_overall_negative_feedback,1
Issue_20,鲨鱼鳍,appearance_design_overall_negative_feedback,1
Issue_21,尺寸,appearance_design_overall_negative_feedback,1
Issue_22,车头,appearance_design_overall_negative_feedback,1
Issue_23,车型颜色配置,appearance_design_overall_negative_feedback,1
Issue_24,年轻化,appearance_design_overall_negative_feedback,1
Issue_25,车高,appearance_design_overall_negative_feedback,1
Issue_26,车宽,appearance_design_overall_negative_feedback,1
Issue_27,设计,appearance_design_overall_negative_feedback,1
Issue_28,劳斯莱斯设计借鉴,appearance_design_overall_negative_feedback,1
Issue_29,尾部设计,appearance_design_overall_negative_feedback,1
Issue_30,前脸设计,appearance_design_overall_negative_feedback,1
Issue_31,尾部,appearance_design_overall_negative_feedback,1
Issue_32,棱角,appearance_design_overall_negative_feedback,1
Issue_33,轮辋造型,appearance_design_overall_negative_feedback,1
Issue_34,前后脸造型,appearance_design_overall_negative_feedback,1
Issue_35,豪华感,appearance_design_overall_negative_feedback,2
Issue_36,轮毂,appearance_design_overall_negative_feedback,1
Issue_37,A柱,appearance_design_overall_negative_feedback,1
Issue_38,车身形态,appearance_design_overall_negative_feedback,1
Issue_39,后四窗,appearance_design_overall_negative_feedback,1
Issue_40,车身造型,appearance_design_overall_negative_feedback,1
Issue_41,力量感,appearance_design_overall_negative_feedback,1
Issue_42,亮饰条,appearance_design_overall_negative_feedback,1
Issue_43,高端感,appearance_design_overall_negative_feedback,1
Issue_44,车身臃肿,appearance_design_overall_negative_feedback,1
Issue_45,发动机盖分缝设计,appearance_design_overall_negative_feedback,1
Issue_46,大众化,appearance_design_overall_negative_feedback,1
Issue_47,特征,appearance_design_overall_negative_feedback,1
Issue_48,新潮性,appearance_design_overall_negative_feedback,1
Issue_49,前脸灯造型,appearance_design_overall_negative_feedback,1
Issue_50,保险杠造型,appearance_design_overall_negative_feedback,1
Issue_51,视觉冲击力,appearance_design_overall_negative_feedback,1
Issue_52,细节制造工艺,appearance_design_overall_negative_feedback,1
Issue_53,造型新意,appearance_design_overall_negative_feedback,1
Issue_54,M9,appearance_design_overall_negative_feedback,1
Issue_55,M8,appearance_design_overall_negative_feedback,1
Issue_56,型面风格,appearance_design_front_side_negative_feedback,1
Issue_57,价值,appearance_design_front_side_negative_feedback,1
Issue_58,线条,appearance_design_front_side_negative_feedback,1
Issue_59,记忆点,appearance_design_front_side_negative_feedback,1
Issue_60,车灯,appearance_design_front_side_negative_feedback,1
Issue_61,车标,appearance_design_front_side_negative_feedback,1
Issue_62,摄像头,appearance_design_front_side_negative_feedback,1
Issue_63,缝隙间隙,appearance_design_front_side_negative_feedback,1
Issue_64,差异化,appearance_design_front_side_negative_feedback,1
Issue_65,风格,appearance_design_front_side_negative_feedback,1
Issue_66,车顶摄像头,appearance_design_front_side_negative_feedback,1
Issue_67,接缝处缝隙,appearance_design_front_side_negative_feedback,1
Issue_68,发罩,appearance_design_front_side_negative_feedback,1
Issue_69,保险杠,appearance_design_front_side_negative_feedback,1
Issue_70,翼子板,appearance_design_front_side_negative_feedback,1
Issue_71,四门焊点,appearance_design_front_side_negative_feedback,1
Issue_72,抽屉式把手,appearance_design_front_side_negative_feedback,1
Issue_73,前脸,appearance_design_front_side_negative_feedback,2
Issue_74,车灯闭环,appearance_design_front_side_negative_feedback,1
