costcontrolinsight_id,name,source_column,mention_count
CostControlInsight_0,三排座椅沉坑,cost_control_insight,1
CostControlInsight_1,娱乐屏幕模块,cost_control_insight,1
CostControlInsight_2,PI平台化设计,cost_control_insight,1
CostControlInsight_3,控制面板集成,cost_control_insight,1
CostControlInsight_4,触控面板替代液晶显示屏,cost_control_insight,1
CostControlInsight_5,模块化设计,cost_control_insight,1
CostControlInsight_6,车身内饰颜色统一,cost_control_insight,1
CostControlInsight_7,四门流水槽焊点遮蔽,cost_control_insight,1
CostControlInsight_8,四门缓冲橡胶垫块,cost_control_insight,1
CostControlInsight_9,机械门把手,cost_control_insight,1
CostControlInsight_10,补胎机构,cost_control_insight,1
CostControlInsight_11,备胎池空间复用,cost_control_insight,1
CostControlInsight_12,不计成本,cost_control_insight,1
CostControlInsight_13,网兜设计,cost_control_insight,1
CostControlInsight_14,成本管控,cost_control_insight,1
CostControlInsight_15,颜色简约,cost_control_insight,1
CostControlInsight_16,造型简约,cost_control_insight,1
CostControlInsight_17,规格少,cost_control_insight,1
CostControlInsight_18,开发成本,cost_control_insight,1
CostControlInsight_19,验证成本,cost_control_insight,1
CostControlInsight_20,软包,cost_control_insight,1
CostControlInsight_21,PVC,cost_control_insight,1
CostControlInsight_22,唐塑,cost_control_insight,1
