respondent_id,time_spent,age,gender,family_status,vehicle_ownership,personality_consumption_score,trend_consumption_score,fashion_consumption_score,quality_consumption_score,brand,model,store,appearance_design_score,appearance_design_experience_areas,appearance_design_overall_positive_feedback,appearance_design_overall_negative_feedback,appearance_design_front_side_positive_feedback,appearance_design_front_side_negative_feedback,appearance_design_paint_color_positive_feedback,appearance_design_paint_color_negative_feedback,appearance_design_other_positive_feedback,appearance_design_other_negative_feedback,appearance_design_media,interior_design_quality_score,interior_design_quality_experience_areas,interior_design_layout_positive_feedback,interior_design_layout_negative_feedback,interior_material_workmanship_positive_feedback,interior_material_workmanship_negative_feedback,interior_color_atmosphere_positive_feedback,interior_color_atmosphere_negative_feedback,interior_design_details_positive_feedback,interior_design_details_negative_feedback,interior_design_other_positive_feedback,interior_design_other_negative_feedback,interior_design_quality_media,smart_cabin_score,smart_cabin_experience_areas,smart_cabin_hardware_positive_feedback,smart_cabin_hardware_negative_feedback,smart_cabin_ui_positive_feedback,smart_cabin_ui_negative_feedback,smart_cabin_ecosystem_positive_feedback,smart_cabin_ecosystem_negative_feedback,smart_cabin_voice_assistant_positive_feedback,smart_cabin_voice_assistant_negative_feedback,smart_cabin_unique_features_positive_feedback,smart_cabin_unique_features_negative_feedback,smart_cabin_other_positive_feedback,smart_cabin_other_negative_feedback,smart_cabin_media,configuration_value_score,configuration_value_experience_areas,configuration_wow_features_positive_feedback,configuration_wow_features_experience,configuration_comfort_features_positive_feedback,configuration_comfort_features_negative_feedback,configuration_tech_features_positive_feedback,configuration_tech_features_negative_feedback,configuration_other_positive_feedback,configuration_other_negative_feedback,configuration_value_media,overall_quality_score,overall_quality_experience_areas,body_gap_positive_feedback,body_gap_negative_feedback,material_color_consistency_positive_feedback,material_color_consistency_negative_feedback,closure_quality_positive_feedback,closure_quality_negative_feedback,button_quality_positive_feedback,button_quality_negative_feedback,overall_quality_other_positive_feedback,overall_quality_other_negative_feedback,overall_quality_media,driving_safety_score,driving_safety_experience_areas,safety_info_expression_positive_feedback,safety_info_expression_negative_feedback,passive_safety_positive_feedback,passive_safety_negative_feedback,active_safety_positive_feedback,active_safety_negative_feedback,driving_safety_other_positive_feedback,driving_safety_other_negative_feedback,driving_safety_media,riding_comfort_score,riding_comfort_experience_areas,seat_comfort_positive_feedback,seat_comfort_negative_feedback,space_positive_feedback,space_negative_feedback,comfort_features_positive_feedback,comfort_features_negative_feedback,quietness_positive_feedback,quietness_negative_feedback,air_conditioning_positive_feedback,air_conditioning_negative_feedback,riding_comfort_other_positive_feedback,riding_comfort_other_negative_feedback,riding_comfort_media,operation_convenience_score,operation_convenience_experience_areas,storage_space_positive_feedback,storage_space_negative_feedback,convenience_design_positive_feedback,convenience_design_negative_feedback,button_operation_positive_feedback,button_operation_negative_feedback,charging_convenience_positive_feedback,charging_convenience_negative_feedback,operation_convenience_other_positive_feedback,operation_convenience_other_negative_feedback,operation_convenience_media,service_experience_score,service_experience_experience_areas,store_experience_positive_feedback,store_experience_negative_feedback,reception_professionalism_positive_feedback,reception_professionalism_negative_feedback,demonstration_positive_feedback,demonstration_negative_feedback,service_experience_other_positive_feedback,service_experience_other_negative_feedback,service_experience_media,driving_comfort_score,driving_comfort_experience_areas,chassis_tuning_positive_feedback,chassis_tuning_negative_feedback,view_positive_feedback,view_negative_feedback,driving_experience_positive_feedback,driving_experience_negative_feedback,noise_reduction_positive_feedback,noise_reduction_negative_feedback,driving_comfort_other_positive_feedback,driving_comfort_other_negative_feedback,driving_comfort_media,brand_user_group_experience,innovation_insight,innovation_media,cost_control_insight,cost_control_media
74,1027秒,25-29岁,男,未婚/单身,是，请补充车型〖宝马〗,1,1,5,3,乐道,L90 _顶配,广州市番禺大道店,9,车型整体,体量充足 形面较为简洁,灯具边界略复杂,,,,,,,(空),8,用料及工艺┋色彩与氛围,,,做工优秀 细节处理到位,喇叭网孔品质稍差,品质扎实 简单舒适,木纹质感光泽度有点高,,,,,(空),7,硬件基础,大空间 大前备箱,前排没腿拖,,,,,,,,,,,(空),7,舒适配置,(跳过),(跳过),大空间 大前备箱 驾驶品质良好,,,,,,(空),8,车身缝隙┋开闭件质感,分缝整齐,,,,阻尼适中,,,,,,(空),7,其他,,,,,,,操控有信心,,(空),8,空间,,,大,,,,,,,,,,(空),8,储物空间,大前备箱 整体尺寸大,,,,,,,,,,(空),8,门店感受┋接待与专业性┋讲解与演示,比埃安好,,比埃安好,,比埃安好,,,,(空),8,底盘调教┋视野┋驾驶感受(加速、制动、专项等）┋风噪/胎噪等静谧行,不会过于摇晃,,开阔的,无.,正常,无.,正常,无.,,,(空),,,(空),,(空)
75,3450秒,40-44岁,女,已婚1孩,是，请补充车型〖传祺E8〗,3,4,5,2,小鹏,P7顶配,广州市番禺区天河城店,8,车型整体┋前脸/侧围┋漆面/颜色,个性鲜明，极具辨识度及原创性,过于个性，可能喜好因人而异,黑色H型特征具有极高辨识度和科技感,型面风格偏单薄，价值稍弱,银色车漆简约,相对普通，店端未展示其他个性色,,,(空),8,内饰设计风格与布局┋用料及工艺┋色彩与氛围,简约轻薄,价值感稍弱，线条不是太流畅舒展,简约科技,不耐脏，浅色内饰后排座椅已经有明显污渍,科技简约干净,相对冷淡 不耐脏,,,,,(空),7,硬件基础,符合基础要求，界面简洁清晰流畅,组合仪表屏幕较小,,,,,,,,,,,(空),9,舒适配置,(跳过),(跳过),满足用车要求,,,,,,(空),8,车身缝隙┋材质/颜色一致性,好感知区域无明显品质瑕疵设计紧凑,,花色仿麂皮在门中片及座椅应用出彩，整体设计风格及氛围科技简约,门下本体略有塑料感,,,,,,,(空),6,其他〖未动态体验〗,,,,,,,符合基本安全配置,,(空),8,座椅舒适性,乘坐舒适，满足要求,,,,,,,,,,,,(空),8,便利性设计┋按键操作便利性,,,操作便捷,,布局紧凑操作方便,,,,,,(空),5,门店感受┋接待与专业性,,未有接待人员跟进 不被重视,,未有接待人员跟进 不被重视,,,,,(空),,(空),,,,,,,,,,,(空),,,(空),,(空)
76,12344秒,30-34岁,男,未婚/单身,是，请补充车型〖BMW 3系〗,3,2,2,4,小鹏,X9-增程版,番禺天河城店,7,车型整体┋前脸/侧围┋漆面/颜色,车身流线型较好，高度不夸张，没有臃肿感,车尾造型比较浮夸，显得不沉稳,前脸贯穿灯设计美观有家族语言，主动进气格栅开合时很有科技感；侧围水切平整、腰线有设计感,没有明显劣势,多种色彩选择，漆面较高级，色彩协调性很好,没有明显劣势,,,,7,内饰设计风格与布局┋用料及工艺┋色彩与氛围┋设计细节,比较有科技感，简约不复杂，储物及控制区域分布科学,没有明显劣势,可视可触摸处用料及工艺均比较细腻，符合30+豪华车型体验,没有明显劣势,比较偏重科技感，色彩相对简单，香薰及氛围灯比较自然不浮夸,科技感强，温馨感稍弱一点，前排及三排氛围感较弱，二排氛围感更好,机构丝滑、用料考究、铁网出风口有科技感、前排及二排座椅比较舒适，娱乐屏开合方式及角度可控非常棒,三排座椅高度及长度不足，腿部支撑差，三排座椅质感一般，后备箱及三排座椅后侧的外包裹比较简陋,,,,9,硬件基础┋UI设计┋应用生态┋语音助手,配置齐全、基本达到豪华MPV所需的一切,无明显劣势,整体UI设计风格偏科技感，应用风格统一，信息分区合理，色彩舒适和谐,无明显劣势,主流应用基本全部包含，应用不仅仅单纯的打在第三方资源上车，而是经过了整合与自身系统UI的高度统一,无明显劣势,非常棒，唤醒及识别相当准确，响应及时，能力多样，功能强劲，AI形象生动可爱，拾音分区等也非常准确智能，可以称为业界顶流,无劣势,,,,,(空),8,舒适配置┋科技配置,(跳过),(跳过),二排座椅乘坐舒适性良好，0重力模式+按摩非常爽,二排座椅有过道版扶手较窄，能力较少，豪华尊贵感不足；无过道板比较全面；三排座椅整体拉胯，不舒服，沉坑后视觉也不美观,辅助驾驶无敌，语音助手无敌；操控体验极佳，作为一款MPV来说，开起来像轿车一样顺畅丝滑；,小鹏永远不输科技,,,(空),7,车身缝隙┋材质/颜色一致性┋开闭件质感┋按键质感,没有明显瑕疵，缝隙整体均匀不突兀，过渡良好,没有明显瑕疵,外部色彩分上下两部分，整体过渡比较和谐，黑色玻璃搭配车身颜色顶棚，比较有质感；内饰部分材质触摸都比较舒服，也有一些科技感如铁网空调出风口，色彩和谐与氛围灯呼应很好,无明显劣势,电动机构速度适中，行程丝滑，所有拉手、开关等均触摸有质感，使用很顺手,无明显劣势,按键位置分布合理，按压质感良好，Icon易懂,无明显劣势,,,,9,安全信息的表达┋被动安全┋主动安全,驾驶视野通透，各类提醒及时准确，360开关智能画面清晰，辅助驾驶时各项信息全面,无明显劣势,环车影响、各区雷达告警及时准确，大大降低拥挤空间驾驶的不安全感辅助驾驶会根据路况做提前减速及变道等操作，从容安全不惊慌,无明显劣势,辅助驾驶拥挤路段跟车时与各交通参与者保持良好距离，自主驾驶时遇突发情况有紧急主动和避让操作，准确及时,无明显劣势,,,(空),6,座椅舒适性┋空间┋舒适配置┋静谧性┋空调感受,无明显优势,前两排座椅乘坐舒适性尚可，但前排无零重力，二排有过道板扶手较窄，三排乘坐体验一般，座椅头枕较小并且需要电动调节，腿部支撑不足，长和高都不够。,三排空间均有基础保障，不拥挤，三排座椅沉坑后储物空间较大,沉坑后三排台阶与二排座椅行程一个凹陷区域，视觉不平整，躺睡需要垫东西,无明显优势,仅二排有零重力，其他舒适性配置亮点不足,路噪、胎噪、风噪均非常小，前排导航相关声音主要由头枕传递给主驾驶，后排几乎无感,无明显劣势,空调出风口位置排布较好，铁网格栅有科技感，语音助手可控风向，如指令避人吹,不可以物理调节风向，相对麻烦一点,,,(空),7,储物空间┋便利性设计┋按键操作便利性,分布合理，尺寸适合，操作便捷,无明显劣势,电子按钮三排沉坑,主驾位无法冰箱取物，娱乐屏角度只能在屏幕上调节或语音调节,满足基本需求问题不大，优势不明显,前排按键较少，语音助手一定程度可以弥补，但整体便捷性受一定影响,,,,,(空),9,门店感受┋接待与专业性┋讲解与演示,空间大，环境好，接待人员热情,基本无,销售人员可以很专业的讲解车辆的功能和使用方式，在试乘试驾阶段也非常专业,基本无,驾驶与操控很好的解决了大车难开的问题，辅助驾驶和语音助手表现非常亮眼,舒适性只能尚可，三排沉坑效果略显失望,,,(空),9,视野┋驾驶感受(加速、制动、专项等）┋风噪/胎噪等静谧行,,,主驾视野非常好，盲区也有视频辅助，整体安全感十足,无明显劣势,加速减速非常线性，转向无虚伪，后轮转向大大降低转弯半径，打在空气悬架路面颠簸过滤效果非常好,无明显劣势,非常安静，几乎无明显噪声,无明显劣势,,,(空),群体相对较年轻，对辅助驾驶等科技功能更感兴趣,后排娱乐屏的开合方式及角度调节很灵活，即使不移动屏幕模块本身，也可以在二排躺倒时提供很好的观影视角。沉坑创造了更多的使用方式及场景，如车上睡觉，围炉煮茶等。,(空),轻量化设计可以参考，三排座椅沉坑可一定程度降低成本，娱乐屏幕模块也可以降本达到同样效果,(空)
77,400秒,35-39岁,男,已婚2孩/多人口,是，请补充车型〖E8〗,3,3,3,3,传祺,E8 MAX,广州传祺经典店,8,车型整体,前脸比价中庸定位合适,后尾部无特色,,,,,,,(空),8,其他〖座椅〗,,,,,,,,,三排座椅功能多,座椅不够舒适,(空),7,应用生态,,,,,应用反应快速,功能太少,,,,,,,(空),7,舒适配置,(跳过),(跳过),座椅功能不错,不够柔软,,,,,(空),8,车身缝隙,颜色不错,缝隙控制一般,,,,,,,,,(空),8,主动安全,,,,,配置够用,,,,(空),8,座椅舒适性,座椅可以躺平,不够柔软,,,,,,,,,,,(空),8,储物空间,丰富,,,,,,,,,,(空),8,接待与专业性,,,服务不错,,,,,,(空),8,驾驶感受(加速、制动、专项等）,,,,,驾驶性不错,暂时无,,,,,(空),,,(空),,(空)
78,4362秒,35-39岁,女,已婚2孩/多人口,是，请补充车型〖传祺宗师M8，甲壳虫〗,2,4,4,2,小鹏,小鹏P7-标准版,广州-番禺天河城店,8,车型整体,科技感，独特性,暂无,,,,,,,(空),7,内饰设计风格与布局┋用料及工艺┋色彩与氛围,相对简洁，没有过多的花里胡哨的装饰，包袱面积较大，整体感比较好,做工跟理想蔚来小米有差距,包覆面积比较大,暂未发现,中规中矩,中规中矩,,,,,(空),7,语音助手┋独特功能亮点,,,,,,,语音交互和执行能力很丝滑，如同与人正常交流，执行很准确,暂未发现,大尺寸hud，很爽,暂未发现,,,(空),8,“哇塞”配置,大尺寸hud,大电视感觉，清晰，爽,,,,,,,(空),8,其他〖屏幕显示质量〗,,,,,,,,,清晰不刺眼睛,暂未发现,(空),9,主动安全,,,,,智驾能力很强，很丝滑，跟自身驾驶习惯很相似，能主动识别驾驶风险,暂未发现,,,(空),8,座椅舒适性┋舒适配置┋静谧性,整体包裹感可以，驾驶侧翼主动承托还不错,按摩没什么用,,,舒适模式下的悬架软硬，过滤挺舒服,暂未发现,比M8强太多,暂未发现,,,,,(空),8,储物空间┋按键操作便利性,地图袋有伞槽设计,行李箱较小,,,门饰板饰条自定义按键科技，方便,暂未发现,,,,,(空),9,接待与专业性┋讲解与演示,,,讲解热情，全方位，对自己的产品热爱，很自信,暂未发现,销售对功能非常熟悉,暂未发现,,,(空),8,驾驶感受(加速、制动、专项等）┋风噪/胎噪等静谧行,,,,,加速和制动踏板扎实，执行反应快,,风噪胎噪较难感受到，比较静谧,,,,(空),科技时尚智能,,(空),,(空)
79,6796秒,35-39岁,男,已婚1孩,是，请补充车型〖昊铂HT〗,1,5,5,1,比亚迪,比亚迪海鸥-荣耀版305,湖南益阳天驰汽车城,6,车型整体┋前脸/侧围,仿生学的造型，给人海鸥动物的力度,少了一些圆润和亲和,有俯冲感，C柱设计独特,线条偏多，不简洁,,,,,,7,内饰设计风格与布局┋设计细节,环抱式，类翅膀造型中控和方向盘,不简洁,,,,,保留了合适的实体按键，实体开门开关，相比埃安车型，操作更方便,稍显杂乱，,,,,6,语音助手,,,,,,,反应还行，没有卡顿,有时反应不够快，理解不是很到位,,,,,(空),8,舒适配置,(跳过),(跳过),座椅加热，无钥匙系统，大屏，,扭力梁悬架,,,,,(空),6,按键质感,,,,,,,保留了适当的实体按键，不用在中控屏找，按键反馈合理,质感不是很好,,,,7,其他〖最好时速130 km/h〗,,,,,,,物理门把手,最高车速太小，不能跑高速,(空),7,座椅舒适性,座椅舒适度还行,不是真皮，皮质感不太好,,,,,,,,,,,,8,按键操作便利性,,,,,保留了适当的实体按键，机械式内外开门,杂乱了一些,,,,,,6,门店感受,服务周到，有递水，全程陪同，每个车有标签墙，亮点突出,专业性差一点,,,,,,,,5,其他〖没有试驾〗,,,,,,,,,,,(空),,合适的腰枕非常贴合消费者的需求，现在打工人腰酸背痛的很多,(空),,(空)
80,2704秒,30-34岁,男,已婚1孩,否,3,3,5,5,吉利,银河M9-2025款 230KM 两驱探索版,广州市—广汽研究院对标车,9,车型整体,整体大气，银河式贯穿灯很漂亮,暂无,,,,,,,,9,内饰设计风格与布局,6座车型，布局合理，整体配色比较豪华,暂无,,,,,,,,,,9,硬件基础┋UI设计┋应用生态┋语音助手┋独特功能亮点,屏幕很大，一整块屏幕，科技感强，贯穿整个主副驾，,左右屏无法联动交互,语音交互统一协调，所有语音的交互都在一个界面中，音乐界面统一,暂无,继承了豆包的联网搜索和短视频，符合目前年轻人的偏好,暂无,泛化和模糊的说法都可以实现，多音乐和导航的联动很好，具有较多AI联动功能,拒识比较差,集成了游览器，通过游览器讲很多生态功能实现量产上车,暂无,,,,9,“哇塞”配置┋舒适配置┋科技配置,大屏幕,很棒，高级感很足,前后排座椅按摩很舒服,暂无,具有二排屏幕,二排屏幕打开的时候会闪屏，屏幕不大,,,,8,按键质感,,,,,,,兼顾了虚拟按键，后排电子按键丰富，高频操作也有实体按键,暂无,,,,7,被动安全┋主动安全,,,配置丰富,暂无,配置丰富,暂无,,,,9,座椅舒适性┋空间,座椅包裹性很好，第一排和第二排都有按摩功能,二排没有承托,空间大，地板平整,但车身有点太大，不好停车,,,,,,,,,,8,储物空间┋按键操作便利性,前排有两个很大储物箱，有冰箱,暂无,,,高频的调节都有硬按键,暂无,,,,,,8,其他〖没有到店，对标车体验〗,,,,,,,暂无,暂无,(空),,(空),,,,,,,,,,,(空),有两娃家庭，主打亲子家人,,(空),成本很低，20万做了大屏幕，具有冰箱，具有前后两排座椅按摩，具有丰富的智驾功能，具有好的音响，纯电续航在230km，具有抬头显示,(空)
81,2541秒,40-44岁,男,已婚2孩/多人口,是，请补充车型〖霸王龙〗,3,2,2,1,领跑,C16-增程版,增城领跑体验店,8,车型整体,性价比高,6坐空间太小,,,,,,,,7,用料及工艺,,,气味小竹炭材质,细节品质一般,,,,,,,,7,UI设计,,,功能全,清晰度品质感一般,,,,,,,,,,9,“哇塞”配置,摩斯密码解锁,有特点,,,,,,,,7,按键质感,,,,,,,一般,品质一般,,,,7,主动安全,,,,,全场景辅助驾驶,未发现,,,,7,座椅舒适性,座椅大,6坐空间小,,,,,,,,,,,,7,储物空间,储物空间多,,,,,,,,,,,8,接待与专业性,,,展示的比较全面,,,,,,,7,(空),,,,,,,,,,,,,需要做一些特色功能，不管有没有用要让用户觉得好玩,,PI平台化设计,
82,3989秒,35-39岁,男,已婚1孩,是，请补充车型〖CRV〗,5,4,4,4,红旗天工,天工06 550续航,广州市广物红旗,7,车型整体┋前脸/侧围┋漆面/颜色,年轻，清新,无仪表,摄像头在车标下方，整体融合在一起,无记忆点，车灯与车标不协摄像头调,淡雅，年轻,漆面质感粗，手感不好,,,,7,内饰设计风格与布局,空间大,置物不方便，内饰不够精致，开关缝隙大,,,,,,,,,,7,应用生态┋语音助手,,,,,生态丰富，carplay， iccoa carlink，hicar ，flyme link,图标布局，杂乱，语音识别准确率低,可能由于网络不太好，语音助手未表现出明显的优势,识别准确率低，响应不够迅速,,,,,,8,科技配置,(跳过),(跳过),,,健康监测，生态互联，AR HUD 配置齐全,未发现明显的亮点功能,,,,8,按键质感,,,,,,,拨杆，开关氛围灯,方向盘感觉一般,,,,5,主动安全,,,,,未体验,未体验,,,(空),7,座椅舒适性,主副驾记忆，副驾腿拖,腿拖无有效支撑,,,,,,,,,,,,8,储物空间,储物空间大,方向盘开关，按键指向不明确，,,,,,,,,,,9,讲解与演示,,,,,比较耐心，整体对车比较了解，跟着用户的关注点讲解,讲解还是不够口语话，多为背的稿子,,,(空),8,其他〖配置比较全面〗,,,,,,,,,,,(空),,,,,(空)
83,13456秒,54岁及以上,男,已婚1孩,是，请补充车型〖威兰达高性能版〗,3,3,3,3,福特,福特智趣烈马全地形露营SUV-长滩增程版,2025年广州国际车展,7,车型整体,外观简洁实用，座椅可以全部放倒，放倒后可以放气垫床，活动天幕（后部可5s翘起36cm），尾门开启后内测有储物盒，可改装性强，电动发罩（带固定扰流板），悬浮式车顶，尾门小桌板可承重18㎏，涉水深度600mm,细节部分感官品质一般,,,,,,,,6,内饰设计风格与布局┋用料及工艺,内饰简洁，身体接触部分软包或者搪塑软化处理,储物空间偏少,身体接触部分软包或者搪塑软化处理，一键小憩模式，大床模式,金属制品外露比较好,,,,,,,,5,硬件基础┋语音助手┋独特功能亮点,8255芯片,主仪表小,,,,,语音唤醒，屏幕无操作10s自动熄屏,同质化,内置国内10条重要路线,需要在大屏上翻找,,,,7,“哇塞”配置,一键车顶升降，一键小憩模式，大床模式（不影响行李箱容积），电动发罩（160L）（双驱）,适合户外露营,,,,,,,,6,车身缝隙┋开闭件质感,局部加条子装饰,车身缝隙偏大,,,尾门可任意位置悬停，操作轻便,握住旋转式外把手关门割手，不满足新国标，开门瞬间有突变,,,,,,7,被动安全,,,全系标配10个安全气囊，车门备份独立电源,成本上升,,,,,,6,空间┋舒适配置,,,头部空间大,185cm个子顶侧面头部空间只有四指间隙,座椅可以实现一键小憩模式,中控台没有后排出风口,,,,,,,,6,便利性设计,,,一键电动实现小憩模式,前排座椅靠背后侧没有小桌板,,,,,,,,6,接待与专业性┋讲解与演示,,,热情,功利性稍显明显,热情主动,不专业，多功能不熟悉,,,,,(空),,,,,,,,,,,(空),有车主群，可供车主交流，或者组织活动,,(空),,(空)
