feature_id,name,source_column,mention_count
Feature_0,体量,appearance_design_overall_positive_feedback,2
Feature_1,形面,appearance_design_overall_positive_feedback,1
Feature_2,个性,appearance_design_overall_positive_feedback,2
Feature_3,辨识度,appearance_design_overall_positive_feedback,3
Feature_4,原创性,appearance_design_overall_positive_feedback,2
Feature_5,车身流线型,appearance_design_overall_positive_feedback,1
Feature_6,车身高度,appearance_design_overall_positive_feedback,1
Feature_7,臃肿感,appearance_design_overall_positive_feedback,1
Feature_8,前脸,appearance_design_overall_positive_feedback,1
Feature_9,定位,appearance_design_overall_positive_feedback,1
Feature_10,科技感,appearance_design_overall_positive_feedback,1
Feature_11,独特性,appearance_design_overall_positive_feedback,1
Feature_12,仿生学造型,appearance_design_overall_positive_feedback,1
Feature_13,海鸥动物力度,appearance_design_overall_positive_feedback,1
Feature_14,整体外观,appearance_design_overall_positive_feedback,1
Feature_15,银河式贯穿灯,appearance_design_overall_positive_feedback,1
Feature_16,性价比,appearance_design_overall_positive_feedback,1
Feature_17,年轻感,appearance_design_overall_positive_feedback,1
Feature_18,清新感,appearance_design_overall_positive_feedback,1
Feature_19,外观,appearance_design_overall_positive_feedback,10
Feature_20,座椅放倒功能,appearance_design_overall_positive_feedback,1
Feature_21,气垫床适配性,appearance_design_overall_positive_feedback,1
Feature_22,活动天幕,appearance_design_overall_positive_feedback,1
Feature_23,尾门储物盒,appearance_design_overall_positive_feedback,1
Feature_24,改装性,appearance_design_overall_positive_feedback,1
Feature_25,电动发罩,appearance_design_overall_positive_feedback,1
Feature_26,固定扰流板,appearance_design_overall_positive_feedback,1
Feature_27,悬浮式车顶,appearance_design_overall_positive_feedback,1
Feature_28,尾门小桌板,appearance_design_overall_positive_feedback,1
Feature_29,涉水深度,appearance_design_overall_positive_feedback,1
Feature_30,外形,appearance_design_overall_positive_feedback,2
Feature_31,线条感,appearance_design_overall_positive_feedback,1
Feature_32,造型,appearance_design_overall_positive_feedback,3
Feature_33,车身外造型,appearance_design_overall_positive_feedback,1
Feature_34,车身比例,appearance_design_overall_positive_feedback,2
Feature_35,线条设计,appearance_design_overall_positive_feedback,1
Feature_36,车身美学,appearance_design_overall_positive_feedback,1
Feature_37,时尚,appearance_design_overall_positive_feedback,1
Feature_38,视觉冲击力,appearance_design_overall_positive_feedback,1
Feature_39,运动感,appearance_design_overall_positive_feedback,1
Feature_40,线条,appearance_design_overall_positive_feedback,4
Feature_41,高头大马,appearance_design_overall_positive_feedback,1
Feature_42,方方正正,appearance_design_overall_positive_feedback,1
Feature_43,线条协调,appearance_design_overall_positive_feedback,1
Feature_44,家族式设计,appearance_design_overall_positive_feedback,2
Feature_45,贯穿式灯光设计,appearance_design_overall_positive_feedback,1
Feature_46,隐藏式门把手,appearance_design_overall_positive_feedback,1
Feature_47,D柱角度,appearance_design_overall_positive_feedback,1
Feature_48,天青色车漆,appearance_design_overall_positive_feedback,1
Feature_49,黑白双色内饰,appearance_design_overall_positive_feedback,1
Feature_50,外造型,appearance_design_overall_positive_feedback,2
Feature_51,年轻化,appearance_design_overall_positive_feedback,1
Feature_52,高级感,appearance_design_overall_positive_feedback,2
Feature_53,前卫感,appearance_design_overall_positive_feedback,1
Feature_54,方盒子,appearance_design_overall_positive_feedback,1
Feature_55,外观造型,appearance_design_overall_positive_feedback,1
Feature_56,创新,appearance_design_overall_positive_feedback,1
Feature_57,一体式鲨鱼形态,appearance_design_overall_positive_feedback,1
Feature_58,造型同质化,appearance_design_overall_positive_feedback,1
Feature_59,整体比例,appearance_design_overall_positive_feedback,2
Feature_60,造型经典,appearance_design_overall_positive_feedback,1
Feature_61,造型不夸张,appearance_design_overall_positive_feedback,1
Feature_62,设计简洁流畅,appearance_design_overall_positive_feedback,1
Feature_63,精致性,appearance_design_overall_positive_feedback,1
Feature_64,硬朗,appearance_design_overall_positive_feedback,1
Feature_65,大气,appearance_design_overall_positive_feedback,5
Feature_66,车身,appearance_design_overall_positive_feedback,1
Feature_67,风格,appearance_design_overall_positive_feedback,5
Feature_68,掀背门,appearance_design_overall_positive_feedback,1
Feature_69,卡钳罩,appearance_design_overall_positive_feedback,1
Feature_70,灯,appearance_design_overall_positive_feedback,1
Feature_71,线性,appearance_design_overall_positive_feedback,1
Feature_72,简约,appearance_design_overall_positive_feedback,2
Feature_73,匀称,appearance_design_overall_positive_feedback,1
Feature_74,爆满,appearance_design_overall_positive_feedback,1
Feature_75,尺寸紧凑,appearance_design_overall_positive_feedback,1
Feature_76,外观动感,appearance_design_overall_positive_feedback,1
Feature_77,轿跑,appearance_design_overall_positive_feedback,1
Feature_78,整体尺寸比例协调,appearance_design_overall_positive_feedback,1
Feature_79,面包车感,appearance_design_overall_positive_feedback,1
Feature_80,浑然一体,appearance_design_overall_positive_feedback,1
Feature_81,耐看,appearance_design_overall_positive_feedback,1
Feature_82,精致,appearance_design_overall_positive_feedback,1
Feature_83,流线侧面,appearance_design_overall_positive_feedback,1
Feature_84,运动尾翼,appearance_design_overall_positive_feedback,1
Feature_85,厚重感,appearance_design_overall_positive_feedback,1
Feature_86,外观中规中矩,appearance_design_overall_positive_feedback,1
Feature_87,车体格,appearance_design_overall_positive_feedback,1
Feature_88,长度,appearance_design_overall_positive_feedback,1
Feature_89,时尚感,appearance_design_overall_positive_feedback,1
Feature_90,SUV造型,appearance_design_overall_positive_feedback,1
Feature_91,发罩分缝形式,appearance_design_overall_positive_feedback,1
Feature_92,车身姿态,appearance_design_overall_positive_feedback,1
Feature_93,姿态,appearance_design_overall_positive_feedback,1
Feature_94,灯具,appearance_design_overall_negative_feedback,1
Feature_95,车尾造型,appearance_design_overall_negative_feedback,1
Feature_96,后尾部,appearance_design_overall_negative_feedback,1
Feature_97,6坐空间,appearance_design_overall_negative_feedback,1
Feature_98,仪表,appearance_design_overall_negative_feedback,1
Feature_99,细节部分,appearance_design_overall_negative_feedback,1
Feature_100,感官品质,appearance_design_overall_negative_feedback,1
Feature_101,外造型,appearance_design_overall_negative_feedback,2
Feature_102,微细节,appearance_design_overall_negative_feedback,1
Feature_103,前脸,appearance_design_overall_negative_feedback,4
Feature_104,隐藏式门把手,appearance_design_overall_negative_feedback,2
Feature_105,车身外钣金件接缝处,appearance_design_overall_negative_feedback,1
Feature_106,工艺管控,appearance_design_overall_negative_feedback,1
Feature_107,侧面造型,appearance_design_overall_negative_feedback,1
Feature_108,前备箱,appearance_design_overall_negative_feedback,1
Feature_109,MPV设计,appearance_design_overall_negative_feedback,1
Feature_110,车顶两侧摄像头,appearance_design_overall_negative_feedback,1
Feature_111,侧面,appearance_design_overall_negative_feedback,1
Feature_112,后背鲨鱼鳍,appearance_design_overall_negative_feedback,1
Feature_113,整体美感,appearance_design_overall_negative_feedback,1
Feature_114,造型,appearance_design_overall_negative_feedback,2
Feature_115,车头,appearance_design_overall_negative_feedback,1
Feature_116,车型,appearance_design_overall_negative_feedback,1
Feature_117,颜色,appearance_design_overall_negative_feedback,1
Feature_118,配置,appearance_design_overall_negative_feedback,1
Feature_119,车高,appearance_design_overall_negative_feedback,1
Feature_120,车宽,appearance_design_overall_negative_feedback,1
Feature_121,设计,appearance_design_overall_negative_feedback,1
Feature_122,尾部设计,appearance_design_overall_negative_feedback,1
Feature_123,前脸设计,appearance_design_overall_negative_feedback,1
Feature_124,尾部,appearance_design_overall_negative_feedback,1
Feature_125,轮辋造型,appearance_design_overall_negative_feedback,1
Feature_126,轮辋,appearance_design_overall_negative_feedback,1
Feature_127,前脸造型,appearance_design_overall_negative_feedback,1
Feature_128,后脸造型,appearance_design_overall_negative_feedback,1
Feature_129,豪华感,appearance_design_overall_negative_feedback,1
Feature_130,轮毂,appearance_design_overall_negative_feedback,1
Feature_131,A柱,appearance_design_overall_negative_feedback,1
Feature_132,车身形态,appearance_design_overall_negative_feedback,1
Feature_133,后四窗,appearance_design_overall_negative_feedback,1
Feature_134,车身线条,appearance_design_overall_negative_feedback,1
Feature_135,力量感,appearance_design_overall_negative_feedback,1
Feature_136,亮饰条,appearance_design_overall_negative_feedback,1
Feature_137,高端感,appearance_design_overall_negative_feedback,1
Feature_138,车身,appearance_design_overall_negative_feedback,1
Feature_139,发动机盖,appearance_design_overall_negative_feedback,1
Feature_140,分缝设计,appearance_design_overall_negative_feedback,1
Feature_141,前脸灯,appearance_design_overall_negative_feedback,1
Feature_142,保险杠造型,appearance_design_overall_negative_feedback,1
Feature_143,细节制造工艺,appearance_design_overall_negative_feedback,1
Feature_144,M9,appearance_design_overall_negative_feedback,1
Feature_145,M8,appearance_design_overall_negative_feedback,1
Feature_146,H型,appearance_design_front_side_positive_feedback,1
Feature_147,贯穿灯,appearance_design_front_side_positive_feedback,1
Feature_148,主动进气格栅,appearance_design_front_side_positive_feedback,1
Feature_149,侧围水切,appearance_design_front_side_positive_feedback,1
Feature_150,腰线,appearance_design_front_side_positive_feedback,1
Feature_151,俯冲感,appearance_design_front_side_positive_feedback,1
Feature_152,C柱,appearance_design_front_side_positive_feedback,1
Feature_153,摄像头,appearance_design_front_side_positive_feedback,1
Feature_154,车标,appearance_design_front_side_positive_feedback,1
Feature_155,贯穿式前大灯,appearance_design_front_side_positive_feedback,1
Feature_156,前脸运动姿态,appearance_design_front_side_positive_feedback,1
Feature_157,前灯,appearance_design_front_side_positive_feedback,1
Feature_158,星环大灯,appearance_design_front_side_positive_feedback,1
Feature_159,鲨鱼前脸,appearance_design_front_side_positive_feedback,1
Feature_160,侧面运动感,appearance_design_front_side_positive_feedback,1
