from_id,to_id,to_name,relationship_type,sentiment,source_column
Respondent_0,Feature_0,体量,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_70,Feature_0,体量,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_0,Feature_43,形面,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_1,Feature_9,个性,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_14,Feature_9,个性,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_1,Feature_9,辨识度,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_14,Feature_9,辨识度,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_28,Feature_9,辨识度,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_1,Feature_9,原创性,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_53,Feature_9,原创性,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_2,Feature_43,车身流线型,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_2,Feature_52,高度,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_2,Feature_7,臃肿感,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_3,Feature_16,前脸,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_3,Feature_9,定位,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_4,Feature_43,科技感,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_4,Feature_9,独特性,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_5,Feature_43,仿生学造型,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_5,Feature_13,海鸥动物力度,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_6,Feature_8,整体外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_6,Feature_16,银河式贯穿灯,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_7,Feature_9,性价比,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_8,Feature_9,年轻感,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_8,Feature_43,清新感,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_15,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_17,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_33,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_34,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_39,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_50,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_55,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_65,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_68,Feature_8,外观,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,座椅放倒功能,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,气垫床适配性,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,活动天幕,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,尾门内侧储物盒,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,改装性,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,电动发罩,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,固定扰流板,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,悬浮式车顶,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_16,尾门小桌板,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_9,Feature_9,涉水深度,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_10,Feature_8,外形,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_59,Feature_8,外形,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_10,Feature_43,线条感,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_13,Feature_43,造型,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_36,Feature_43,造型,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_16,Feature_8,车身外造型,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_16,Feature_43,车身比例,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_16,Feature_36,线条设计,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_16,Feature_36,车身美学,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_16,Feature_43,时尚,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_16,Feature_9,视觉冲击力,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_18,Feature_43,高端,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_18,Feature_43,大气,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_19,Feature_43,大气,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_32,Feature_43,大气,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_48,Feature_43,大气,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_52,Feature_43,大气,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_53,Feature_43,大气,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_55,Feature_43,大气,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_19,Feature_43,简洁,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_20,Feature_43,比例协调,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_20,Feature_43,低趴运动,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_21,Feature_43,线条流畅,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_22,Feature_43,高头大马,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_22,Feature_43,方方正正,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_23,Feature_43,线条协调,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_23,Feature_43,家族式设计,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_30,Feature_43,家族式设计,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_23,Feature_16,前后贯穿式灯光设计,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_23,Feature_16,隐藏式门把手,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_23,Feature_16,D柱角度,MENTIONED_FEATURE,positive,appearance_design_overall_positive
Respondent_23,Feature_52,天青色车漆,MENTIONED_FEATURE,positive,appearance_design_overall_positive
