from_id,to_id,to_name,relationship_type,sentiment,source_column
Respondent_0,Feature_0,体量,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_70,Feature_0,体量,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_0,Feature_1,形面,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_1,Feature_271,个性,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_14,Feature_271,个性,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_1,Feature_261,辨识度,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_14,Feature_261,辨识度,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_28,Feature_261,辨识度,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_1,Feature_4,原创性,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_53,Feature_4,原创性,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_2,Feature_5,车身流线型,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_2,Feature_6,车身高度,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_69,Feature_6,车身高度,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_2,Feature_7,臃肿感,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_3,Feature_123,前脸,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_3,Feature_9,定位,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_4,Feature_285,科技感,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_4,Feature_11,独特性,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_5,Feature_12,仿生学造型,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_5,Feature_13,海鸥动物力度,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_6,Feature_14,整体外观,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_6,Feature_15,银河式贯穿灯,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_7,Feature_16,性价比,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
Respondent_8,Feature_17,年轻感,MENTIONED_FEATURE,positive,13、针对外观设计中的“车型整体”方面您觉得该车型优劣点的体验是?—优秀点
