experience_id,name,source_column,mention_count
Experience_0,体量,appearance_design_overall_positive_feedback,1
Experience_1,形面,appearance_design_overall_positive_feedback,1
Experience_2,个性,appearance_design_overall_positive_feedback,2
Experience_3,辨识度,appearance_design_overall_positive_feedback,2
Experience_4,原创性,appearance_design_overall_positive_feedback,2
Experience_5,车身流线型,appearance_design_overall_positive_feedback,1
Experience_6,车身高度,appearance_design_overall_positive_feedback,1
Experience_7,臃肿感,appearance_design_overall_positive_feedback,1
Experience_8,前脸,appearance_design_overall_positive_feedback,1
Experience_9,中庸,appearance_design_overall_positive_feedback,1
Experience_10,定位,appearance_design_overall_positive_feedback,1
Experience_11,科技感,appearance_design_overall_positive_feedback,1
Experience_12,独特性,appearance_design_overall_positive_feedback,1
Experience_13,仿生学造型,appearance_design_overall_positive_feedback,1
Experience_14,海鸥动物力度,appearance_design_overall_positive_feedback,1
Experience_15,大气,appearance_design_overall_positive_feedback,13
Experience_16,银河式贯穿灯,appearance_design_overall_positive_feedback,1
Experience_17,性价比,appearance_design_overall_positive_feedback,1
Experience_18,年轻,appearance_design_overall_positive_feedback,1
Experience_19,清新,appearance_design_overall_positive_feedback,1
Experience_20,外观,appearance_design_overall_positive_feedback,2
Experience_21,座椅放倒,appearance_design_overall_positive_feedback,1
Experience_22,气垫床,appearance_design_overall_positive_feedback,1
Experience_23,活动天幕,appearance_design_overall_positive_feedback,1
Experience_24,尾门储物盒,appearance_design_overall_positive_feedback,1
Experience_25,改装性,appearance_design_overall_positive_feedback,1
Experience_26,电动发罩,appearance_design_overall_positive_feedback,1
Experience_27,固定扰流板,appearance_design_overall_positive_feedback,1
Experience_28,悬浮式车顶,appearance_design_overall_positive_feedback,1
Experience_29,尾门小桌板,appearance_design_overall_positive_feedback,1
Experience_30,涉水深度,appearance_design_overall_positive_feedback,1
Experience_31,线条感,appearance_design_overall_positive_feedback,1
Experience_32,黑色外形,appearance_design_overall_positive_feedback,1
Experience_33,稳重,appearance_design_overall_positive_feedback,1
Experience_34,耐看,appearance_design_overall_positive_feedback,2
Experience_35,不过时,appearance_design_overall_positive_feedback,1
Experience_36,外观漂亮,appearance_design_overall_positive_feedback,1
Experience_37,车身比例协调,appearance_design_overall_positive_feedback,1
Experience_38,线条设计美感,appearance_design_overall_positive_feedback,1
Experience_39,优雅美学,appearance_design_overall_positive_feedback,1
Experience_40,时尚,appearance_design_overall_positive_feedback,1
Experience_41,视觉冲击力,appearance_design_overall_positive_feedback,1
Experience_42,高端,appearance_design_overall_positive_feedback,1
Experience_43,简洁,appearance_design_overall_positive_feedback,1
Experience_44,比例协调,appearance_design_overall_positive_feedback,1
Experience_45,低趴运动,appearance_design_overall_positive_feedback,1
Experience_46,线条流畅,appearance_design_overall_positive_feedback,1
Experience_47,高头大马,appearance_design_overall_positive_feedback,1
Experience_48,方方正正,appearance_design_overall_positive_feedback,2
Experience_49,线条协调大气,appearance_design_overall_positive_feedback,1
Experience_50,贯穿式灯光设计,appearance_design_overall_positive_feedback,1
Experience_51,隐藏式门把手,appearance_design_overall_positive_feedback,1
Experience_52,D柱角度独特,appearance_design_overall_positive_feedback,1
Experience_53,天青色车漆,appearance_design_overall_positive_feedback,1
Experience_54,黑白双色内饰,appearance_design_overall_positive_feedback,1
Experience_55,外造型一般,appearance_design_overall_positive_feedback,1
Experience_56,年轻化,appearance_design_overall_positive_feedback,1
Experience_57,不过于激进,appearance_design_overall_positive_feedback,1
Experience_58,高级感,appearance_design_overall_positive_feedback,2
Experience_59,前卫感,appearance_design_overall_positive_feedback,1
Experience_60,方盒子协调,appearance_design_overall_positive_feedback,1
Experience_61,造型有辨识度,appearance_design_overall_positive_feedback,1
Experience_62,造型有创新,appearance_design_overall_positive_feedback,1
Experience_63,一体式鲨鱼形态,appearance_design_overall_positive_feedback,1
Experience_64,造型同质化,appearance_design_overall_positive_feedback,1
Experience_65,整体比例耐看,appearance_design_overall_positive_feedback,1
Experience_66,造型经典,appearance_design_overall_positive_feedback,1
Experience_67,造型不夸张,appearance_design_overall_positive_feedback,1
Experience_68,家族式设计,appearance_design_overall_positive_feedback,1
Experience_69,设计简洁流畅,appearance_design_overall_positive_feedback,1
Experience_70,精致性好,appearance_design_overall_positive_feedback,1
Experience_71,硬朗,appearance_design_overall_positive_feedback,1
Experience_72,大众审美,appearance_design_overall_positive_feedback,1
Experience_73,档次,appearance_design_overall_positive_feedback,1
Experience_74,豪华感,appearance_design_overall_positive_feedback,1
Experience_75,年轻动感,appearance_design_overall_positive_feedback,1
Experience_76,方正,appearance_design_overall_positive_feedback,1
Experience_77,运动,appearance_design_overall_positive_feedback,1
Experience_78,掀背门,appearance_design_overall_positive_feedback,1
Experience_79,卡钳罩,appearance_design_overall_positive_feedback,1
Experience_80,前卫,appearance_design_overall_positive_feedback,1
Experience_81,风格统一,appearance_design_overall_positive_feedback,1
Experience_82,方盒子造型,appearance_design_overall_positive_feedback,1
Experience_83,城市越野风,appearance_design_overall_positive_feedback,1
Experience_84,前后灯,appearance_design_overall_positive_feedback,1
