component_id,name,source_column,mention_count
Component_0,车身,appearance_design_overall_positive_feedback,2
Component_1,高度,appearance_design_overall_positive_feedback,1
Component_2,前脸,appearance_design_overall_positive_feedback,1
Component_3,造型,appearance_design_overall_positive_feedback,1
Component_4,贯穿灯,appearance_design_overall_positive_feedback,1
Component_5,座椅,appearance_design_overall_positive_feedback,1
Component_6,活动天幕,appearance_design_overall_positive_feedback,1
Component_7,尾门,appearance_design_overall_positive_feedback,1
Component_8,储物盒,appearance_design_overall_positive_feedback,1
Component_9,电动发罩,appearance_design_overall_positive_feedback,1
Component_10,扰流板,appearance_design_overall_positive_feedback,1
Component_11,悬浮式车顶,appearance_design_overall_positive_feedback,1
Component_12,尾门小桌板,appearance_design_overall_positive_feedback,1
Component_13,涉水深度,appearance_design_overall_positive_feedback,1
Component_14,外形,appearance_design_overall_positive_feedback,2
Component_15,黑色,appearance_design_overall_positive_feedback,1
Component_16,外观,appearance_design_overall_positive_feedback,5
Component_17,车身外造型,appearance_design_overall_positive_feedback,1
Component_18,车身比例,appearance_design_overall_positive_feedback,2
Component_19,线条,appearance_design_overall_positive_feedback,5
Component_20,车身美学,appearance_design_overall_positive_feedback,1
Component_21,视觉冲击力,appearance_design_overall_positive_feedback,1
Component_22,姿态,appearance_design_overall_positive_feedback,1
Component_23,灯光设计,appearance_design_overall_positive_feedback,1
Component_24,门把手,appearance_design_overall_positive_feedback,1
Component_25,D柱,appearance_design_overall_positive_feedback,1
Component_26,车漆,appearance_design_overall_positive_feedback,1
Component_27,内饰,appearance_design_overall_positive_feedback,1
Component_28,鲨鱼形态,appearance_design_overall_positive_feedback,1
Component_29,掀背门,appearance_design_overall_positive_feedback,1
Component_30,卡钳罩,appearance_design_overall_positive_feedback,1
Component_31,前后灯,appearance_design_overall_positive_feedback,1
Component_32,尺寸,appearance_design_overall_positive_feedback,1
Component_33,轿跑,appearance_design_overall_positive_feedback,1
Component_34,整体尺寸,appearance_design_overall_positive_feedback,1
Component_35,比例,appearance_design_overall_positive_feedback,1
Component_36,面包车,appearance_design_overall_positive_feedback,1
Component_37,整体,appearance_design_overall_positive_feedback,1
Component_38,侧面,appearance_design_overall_positive_feedback,1
Component_39,尾翼,appearance_design_overall_positive_feedback,1
Component_40,整体感觉,appearance_design_overall_positive_feedback,1
Component_41,厚重,appearance_design_overall_positive_feedback,1
Component_42,外造型,appearance_design_overall_positive_feedback,1
Component_43,车体,appearance_design_overall_positive_feedback,1
Component_44,SUV造型,appearance_design_overall_positive_feedback,1
Component_45,发罩,appearance_design_overall_positive_feedback,1
Component_46,分缝形式,appearance_design_overall_positive_feedback,1
Component_47,灯具,appearance_design_overall_negative_feedback,1
Component_48,车尾造型,appearance_design_overall_negative_feedback,1
Component_49,后尾部,appearance_design_overall_negative_feedback,1
Component_50,空间,appearance_design_overall_negative_feedback,1
Component_51,仪表,appearance_design_overall_negative_feedback,1
Component_52,细节部分,appearance_design_overall_negative_feedback,1
Component_53,外造型,appearance_design_overall_negative_feedback,1
Component_54,微细节,appearance_design_overall_negative_feedback,1
Component_55,前脸,appearance_design_overall_negative_feedback,6
Component_56,门把手,appearance_design_overall_negative_feedback,2
Component_57,车身外钣金件,appearance_design_overall_negative_feedback,1
Component_58,接缝,appearance_design_overall_negative_feedback,1
Component_59,前备箱,appearance_design_overall_negative_feedback,1
Component_60,车顶摄像头,appearance_design_overall_negative_feedback,1
Component_61,侧面,appearance_design_overall_negative_feedback,1
Component_62,后背,appearance_design_overall_negative_feedback,1
Component_63,鲨鱼鳍,appearance_design_overall_negative_feedback,1
Component_64,车头,appearance_design_overall_negative_feedback,1
Component_65,车型,appearance_design_overall_negative_feedback,1
Component_66,颜色,appearance_design_overall_negative_feedback,1
Component_67,配置,appearance_design_overall_negative_feedback,1
Component_68,车高,appearance_design_overall_negative_feedback,1
Component_69,车宽,appearance_design_overall_negative_feedback,1
Component_70,设计,appearance_design_overall_negative_feedback,1
Component_71,尾部,appearance_design_overall_negative_feedback,3
Component_72,轮辋,appearance_design_overall_negative_feedback,1
Component_73,轮毂,appearance_design_overall_negative_feedback,1
Component_74,A柱,appearance_design_overall_negative_feedback,1
Component_75,后四窗,appearance_design_overall_negative_feedback,1
Component_76,亮饰条,appearance_design_overall_negative_feedback,1
Component_77,车身,appearance_design_overall_negative_feedback,1
Component_78,发盖,appearance_design_overall_negative_feedback,1
Component_79,分缝,appearance_design_overall_negative_feedback,1
Component_80,前脸灯,appearance_design_overall_negative_feedback,1
Component_81,保险杠,appearance_design_overall_negative_feedback,1
Component_82,制造工艺,appearance_design_overall_negative_feedback,1
Component_83,造型,appearance_design_overall_negative_feedback,1
Component_84,H型特征,appearance_design_front_side_positive_feedback,1
Component_85,贯穿灯,appearance_design_front_side_positive_feedback,1
Component_86,主动进气格栅,appearance_design_front_side_positive_feedback,1
Component_87,水切,appearance_design_front_side_positive_feedback,1
Component_88,腰线,appearance_design_front_side_positive_feedback,1
Component_89,C柱,appearance_design_front_side_positive_feedback,1
Component_90,摄像头,appearance_design_front_side_positive_feedback,1
Component_91,车标,appearance_design_front_side_positive_feedback,1
Component_92,贯穿式前大灯,appearance_design_front_side_positive_feedback,1
Component_93,前脸,appearance_design_front_side_positive_feedback,6
Component_94,前灯,appearance_design_front_side_positive_feedback,1
Component_95,星环大灯,appearance_design_front_side_positive_feedback,1
Component_96,鲨鱼前脸,appearance_design_front_side_positive_feedback,1
Component_97,侧面,appearance_design_front_side_positive_feedback,1
Component_98,灯,appearance_design_front_side_positive_feedback,2
Component_99,车灯,appearance_design_front_side_positive_feedback,1
Component_100,侧围,appearance_design_front_side_positive_feedback,2
Component_101,发罩,appearance_design_front_side_positive_feedback,2
Component_102,星环灯,appearance_design_front_side_positive_feedback,1
Component_103,车头,appearance_design_front_side_positive_feedback,2
Component_104,车身,appearance_design_front_side_positive_feedback,1
Component_105,进气格栅,appearance_design_front_side_positive_feedback,1
Component_106,灯具,appearance_design_front_side_positive_feedback,1
Component_107,大灯,appearance_design_front_side_positive_feedback,1
Component_108,外观,appearance_design_front_side_positive_feedback,1
Component_109,侧面轮廓,appearance_design_front_side_positive_feedback,1
Component_110,前脸格栅,appearance_design_front_side_positive_feedback,1
Component_111,侧位,appearance_design_front_side_positive_feedback,1
Component_112,前脸气坝,appearance_design_front_side_positive_feedback,1
Component_113,饱满度,appearance_design_front_side_positive_feedback,1
Component_114,高度,appearance_design_front_side_positive_feedback,1
Component_115,设计语言,appearance_design_front_side_positive_feedback,1
Component_116,车灯,appearance_design_front_side_negative_feedback,2
Component_117,车标,appearance_design_front_side_negative_feedback,1
Component_118,摄像头,appearance_design_front_side_negative_feedback,2
Component_119,缝隙,appearance_design_front_side_negative_feedback,2
