Unnamed: 0,brand_powertrain,attention_score
性价比,关注度均值,0.908
外观风格,关注度均值,0.69
内饰风格,关注度均值,0.651
零百加速,关注度均值,0.536
油耗WLTC,关注度均值,0.495
腿部空间,关注度均值,0.492
后备箱及周边空间,关注度均值,0.456
动力模式切换平顺性,关注度均值,0.44
头部空间,关注度均值,0.437
日常实际使用电耗,关注度均值,0.423
日常实际使用油耗,关注度均值,0.422
悬架滤振,关注度均值,0.419
油门响应,关注度均值,0.416
座椅材质,关注度均值,0.414
转向精准度,关注度均值,0.402
内饰材料及环保,关注度均值,0.401
加速平顺性,关注度均值,0.388
前脸外观,关注度均值,0.377
隔音,关注度均值,0.377
车尾外观,关注度均值,0.371
车机系统可靠性,关注度均值,0.37
车内布局,关注度均值,0.364
油耗NEDC,关注度均值,0.363
色彩搭配,关注度均值,0.361
中控屏功能,关注度均值,0.36
方向盘轻重调节,关注度均值,0.358
整车色彩,关注度均值,0.357
油耗CLTC,关注度均值,0.347
高速再加速性能,关注度均值,0.347
电耗WLTC,关注度均值,0.346
语音控制,关注度均值,0.345
换挡平顺性,关注度均值,0.343
馈电油耗,关注度均值,0.341
车身比例,关注度均值,0.341
风噪,关注度均值,0.335
最长续航里程,关注度均值,0.334
智能交互,关注度均值,0.332
质感、做工,关注度均值,0.33
动力系统可靠／耐久,关注度均值,0.327
空调制冷速度,关注度均值,0.326
NVH异响,关注度均值,0.325
座椅宽度,关注度均值,0.325
电耗CLTC,关注度均值,0.324
路噪,关注度均值,0.322
异味,关注度均值,0.322
储物,关注度均值,0.318
车机屏幕分辨率,关注度均值,0.318
辅助驾驶车道保持,关注度均值,0.317
自适应巡航,关注度均值,0.317
空调制热速度,关注度均值,0.315
座椅加热,关注度均值,0.315
响应速度,关注度均值,0.315
座椅调节便利性,关注度均值,0.315
坐垫厚度,关注度均值,0.315
自动泊车,关注度均值,0.311
氛围灯,关注度均值,0.31
发动机噪音,关注度均值,0.31
自动紧急制动,关注度均值,0.31
座椅通风,关注度均值,0.309
空调与通风,关注度均值,0.308
桌面APP,关注度均值,0.306
气囊,关注度均值,0.306
安全带,关注度均值,0.305
底盘系统可靠／耐久,关注度均值,0.304
车身系统可靠／耐久,关注度均值,0.304
车道偏离预警,关注度均值,0.304
制动距离,关注度均值,0.303
前碰撞预警,关注度均值,0.302
厂家口碑,关注度均值,0.302
车身刚度,关注度均值,0.301
事故车门自动解锁,关注度均值,0.301
屏幕尺寸,关注度均值,0.301
桌面布局,关注度均值,0.3
交互便利性,关注度均值,0.299
远程启动／关闭空调,关注度均值,0.299
事故车窗自动下降,关注度均值,0.299
盲区检测,关注度均值,0.299
气帘,关注度均值,0.299
儿童安全锁,关注度均值,0.298
事故自动下电,关注度均值,0.298
电池回收,关注度均值,0.298
事故自动断油,关注度均值,0.296
冬季城市纯电续航,关注度均值,0.296
远程解锁／上锁,关注度均值,0.296
排放,关注度均值,0.296
PM2.5过滤,关注度均值,0.295
耐腐蚀性,关注度均值,0.295
应急照明,关注度均值,0.295
车门防夹,关注度均值,0.294
碳足迹,关注度均值,0.293
过弯侧倾抑制,关注度均值,0.293
座椅臀部支撑程度,关注度均值,0.293
远程车辆状态查看,关注度均值,0.293
座椅靠背角度调节,关注度均值,0.292
传感器可靠性,关注度均值,0.292
车机芯片算力,关注度均值,0.291
座椅调整防夹,关注度均值,0.291
三脚架,关注度均值,0.291
耐热,关注度均值,0.29
耐寒,关注度均值,0.29
远程开启／关闭车窗,关注度均值,0.29
30%SOC～80%SOC,关注度均值,0.29
夏季城市纯电续航,关注度均值,0.289
车辆追踪／报警,关注度均值,0.289
安全带主动预紧,关注度均值,0.289
超充兼容性,关注度均值,0.289
防尘,关注度均值,0.288
无钥匙进入／启动,关注度均值,0.288
仅限用物质,关注度均值,0.288
主动安全车道保持,关注度均值,0.288
防水,关注度均值,0.288
一键寻车,关注度均值,0.288
防晒,关注度均值,0.288
音响声音分区,关注度均值,0.288
正碰时车身强度,关注度均值,0.287
侧碰时车身强度,关注度均值,0.287
追尾时车身强度,关注度均值,0.287
偏置碰时车身强度,关注度均值,0.287
车机屏幕数量,关注度均值,0.287
座椅位置调节,关注度均值,0.287
车距调节,关注度均值,0.287
并线辅助,关注度均值,0.287
座椅靠背厚度,关注度均值,0.287
悬架软硬度,关注度均值,0.287
电耗NEDC,关注度均值,0.286
开门预警,关注度均值,0.285
自动落锁,关注度均值,0.285
摄像头,关注度均值,0.285
座椅按摩,关注度均值,0.285
碰撞后自动拨打120,关注度均值,0.284
车内视野,关注度均值,0.284
高精地图,关注度均值,0.284
热成型钢强度,关注度均值,0.284
碰撞解锁,关注度均值,0.284
碰撞前车身姿态调整,关注度均值,0.284
空调风量,关注度均值,0.282
灯光,关注度均值,0.282
抬头显示,关注度均值,0.282
夜视系统,关注度均值,0.281
车内夜间效果,关注度均值,0.281
儿童误触碰,关注度均值,0.281
